[probe] listening on ws://localhost:7777 for 45s (replay since -300s + live)...
[probe] --- 2 distinct pubkey(s) ---
pubkey fd2f10ba:
  kind=30200 x=25349f6c ×2 label= visuals=[cornerstone-essays,series,editorial-calendar]
  kind=30200 x=c491e712 ×2 label= visuals=[four-pillars,capacity-map,practice-arc]
  kind=30200 x=6499d434 ×2 label= visuals=[]
  kind=30200 x=a2c4daab ×2 label= visuals=[]
  kind=30200 x=867f8ef0 ×2 label= visuals=[]
  kind=30200 x=1300c58e ×2 label= visuals=[]
  kind=30200 x=a97638aa ×2 label= visuals=[]
  kind=30200 x=372e92eb ×2 label= visuals=[]
  kind=30200 x=5ba9f049 ×2 label= visuals=[pipeline,team,legal,finances,tools,pricing-strategy,advanced,assessments,cohorts,curriculum,foundational,mentor]
  kind=30200 x=9234f32c ×2 label= visuals=[]
  kind=30200 x=04b25eca ×2 label= visuals=[]
  kind=30200 x=c6f2e20c ×2 label= visuals=[]
  kind=30200 x=c01aaeb3 ×2 label= visuals=[]
  kind=30200 x=ef25f36a ×2 label= visuals=[]
  kind=30200 x=04d62224 ×2 label= visuals=[]
  kind=30200 x=24f907fe ×2 label= visuals=[]
  kind=30200 x=2283763d ×2 label= visuals=[]
  kind=30200 x=a9cd7ed3 ×2 label= visuals=[]
  kind=30200 x=75b042b7 ×2 label= visuals=[]
  kind=30200 x=1bcfaa16 ×2 label= visuals=[]
  kind=30200 x=1582b323 ×2 label= visuals=[manifesto,voice,audiences,visual]
  kind=30200 x=65ffaadf ×2 label= visuals=[]
  kind=30200 x=4182ec3f ×2 label= visuals=[]
  kind=30200 x=590aff2c ×2 label= visuals=[]
  kind=30200 x=d72e520e ×1 label= visuals=[]
  kind=30200 x=0d670f04 ×1 label= visuals=[prerequisites,curriculum]
  kind=30200 x=c0091936 ×1 label= visuals=[]
  kind=30200 x=bac8a2d4 ×1 label= visuals=[]
  kind=30200 x=ea24f049 ×1 label= visuals=[selection,responsibilities,compensation,foundation-exam,mentor-review,practical-eval]
  kind=30200 x=be1753c3 ×1 label= visuals=[]
